Time stamp,System power generated | (kW),Wind speed | (m/s),Wind direction | (deg),Pressure | (atm),Air temperature | ('C)
"Jan 5, 06:00 pm",1567.48,9.471,10,1.00128,12.813
"Jan 5, 07:00 pm",1572.38,9.461,8,1.00276,11.463
"Jan 5, 08:00 pm",2344.62,11.132,8,1.00453,10.463
"Jan 5, 09:00 pm",2822.17,12.783,14,1.00197,9.563
"Jan 5, 10:00 pm",2790.85,12.625,16,1.00385,8.963
"Jan 5, 11:00 pm",2909.83,13.356,19,1.00523,8.563
"Jan 6, 12:00 am",2779.36,12.555,20,1.00631,8.363
"Jan 6, 01:00 am",2794.97,12.615,16,1.00701,7.963
"Jan 6, 02:00 am",2634.56,11.903,14,1.00681,7.563
"Jan 6, 03:00 am",2736.64,12.348,12,1.00691,7.263
"Jan 6, 04:00 am",2727.68,12.298,13,1.00878,7.063
"Jan 6, 05:00 am",2569.42,11.695,14,1.00809,7.063
"Jan 6, 06:00 am",2610.23,11.814,6,1.0071,7.013
"Jan 6, 07:00 am",2642.68,11.933,11,1.00612,6.963
"Jan 6, 08:00 am",2304.8,10.964,17,1.0077,6.963
"Jan 6, 09:00 am",2418.76,11.28,17,1.00799,7.163
"Jan 6, 10:00 am",2010.77,10.291,17,1.01066,7.363
"Jan 6, 11:00 am",2087.45,10.46,18,1.01086,7.563
"Jan 6, 12:00 pm",1253.03,8.739,26,1.01046,7.763
"Jan 6, 01:00 pm",1368.51,9.006,25,1.00918,7.963
"Jan 6, 02:00 pm",1215.92,8.65,19,1.00987,8.363
"Jan 6, 03:00 pm",1088.84,8.334,24,1.00858,8.663
"Jan 6, 04:00 pm",1235.92,8.71,25,1.00858,8.863
"Jan 6, 05:00 pm",1185.46,8.581,26,1.00839,8.763
"Jan 6, 06:00 pm",1214.14,8.64,26,1.00947,7.513
"Jan 6, 07:00 pm",1243.95,8.7,16,1.01056,6.263
"Jan 6, 08:00 pm",1300.76,8.838,8,1.01214,6.063
"Jan 6, 09:00 pm",1551.07,9.333,3,1.00948,5.563
"Jan 6, 10:00 pm",1821.1,9.856,14,1.00898,5.363
"Jan 6, 11:00 pm",1308.92,8.858,18,1.01204,5.963
"Jan 7, 12:00 am",1013.86,8.107,13,1.01165,6.063
"Jan 7, 01:00 am",712.767,7.217,8,1.01155,5.963
"Jan 7, 02:00 am",810.706,7.523,359,1.01076,5.663
"Jan 7, 03:00 am",1077.22,8.265,353,1.00997,5.063
"Jan 7, 04:00 am",1828.88,9.856,351,1.01027,4.363
"Jan 7, 05:00 am",1301.75,8.828,353,1.00928,4.163
"Jan 7, 06:00 am",1055.49,8.206,357,1.01007,4.713
"Jan 7, 07:00 am",830.994,7.583,358,1.01086,5.263
"Jan 7, 08:00 am",586.206,6.792,359,1.01165,5.663
"Jan 7, 09:00 am",500.897,6.446,350,1.00829,6.163
"Jan 7, 10:00 am",707.833,7.217,348,1.00809,6.663
"Jan 7, 11:00 am",484.807,6.386,349,1.00967,7.563
"Jan 7, 12:00 pm",472.799,6.347,348,1.00701,8.363
"Jan 7, 01:00 pm",325.958,5.655,352,1.00809,9.263
"Jan 7, 02:00 pm",277.875,5.388,353,1.00602,10.063
"Jan 7, 03:00 pm",328.748,5.685,5,1.00562,10.663
"Jan 7, 04:00 pm",401.301,6.07,11,1.00493,11.263
"Jan 7, 05:00 pm",347.579,5.803,12,1.00374,11.563
"Jan 7, 06:00 pm",262.25,5.309,360,1.00256,10.813
"Jan 7, 07:00 pm",184.726,4.815,3,1.00138,10.063
"Jan 7, 08:00 pm",321.099,5.645,355,1.00276,10.363
"Jan 7, 09:00 pm",297.925,5.516,351,1.00078,10.563
"Jan 7, 10:00 pm",0,2.788,340,1.00256,10.863
"Jan 7, 11:00 pm",0,2.116,273,1.00187,11.963
"Jan 8, 12:00 am",0,2.897,284,1.00098,12.063
"Jan 8, 01:00 am",0,2.402,272,1.00197,11.963
"Jan 8, 02:00 am",35.4999,3.421,287,1.00088,11.963
"Jan 8, 03:00 am",529.513,6.624,303,0.998414,10.763
"Jan 8, 04:00 am",459.565,6.327,316,0.997822,10.763
"Jan 8, 05:00 am",348.471,5.813,314,0.998514,10.663
"Jan 8, 06:00 am",242.999,5.2,309,0.998514,9.963
"Jan 8, 07:00 am",156.77,4.587,324,0.998515,9.263
"Jan 8, 08:00 am",21.523,3.243,345,0.999896,9.463
"Jan 8, 09:00 am",1.82121,3.005,340,0.999205,9.863
"Jan 8, 10:00 am",0,2.946,330,1.00108,10.563
"Jan 8, 11:00 am",0,1.7,266,1.00098,12.663
"Jan 8, 12:00 pm",28.3227,3.342,283,0.999596,13.763
"Jan 8, 01:00 pm",44.1369,3.539,272,0.999102,14.563
"Jan 8, 02:00 pm",12.3147,3.154,273,0.998016,15.363
"Jan 8, 03:00 pm",0,2.491,276,0.997423,15.963
"Jan 8, 04:00 pm",0,2.521,305,0.997522,16.263
"Jan 8, 05:00 pm",0,2.847,328,0.995942,16.363
"Jan 8, 06:00 pm",0,1.661,356,0.996536,14.213
"Jan 8, 07:00 pm",0,0.465,25,0.99713,12.063
"Jan 8, 08:00 pm",0,0.672,310,0.998808,12.663
"Jan 8, 09:00 pm",0,1.176,296,0.998018,12.763
"Jan 8, 10:00 pm",0,1.295,261,0.998512,12.663
"Jan 8, 11:00 pm",0,2.017,257,1.00049,12.663
"Jan 9, 12:00 am",0,2.392,298,1.00078,12.263
"Jan 9, 01:00 am",0,2.916,308,1.00137,11.963
"Jan 9, 02:00 am",0,2.837,313,0.999796,11.963
"Jan 9, 03:00 am",0,2.907,312,1.00029,12.063
"Jan 9, 04:00 am",142.129,4.478,338,1.00068,11.863
"Jan 9, 05:00 am",863.103,7.751,354,0.999798,9.563
"Jan 9, 06:00 am",1146.89,8.522,5,1.00059,10.363
"Jan 9, 07:00 am",1490.88,9.303,11,1.00128,11.163
"Jan 9, 08:00 am",1723.62,9.758,10,1.00138,11.163
"Jan 9, 09:00 am",728.148,7.336,2,1.00108,11.163
"Jan 9, 10:00 am",752.153,7.405,7,1.00542,11.563
"Jan 9, 11:00 am",383.25,6.001,9,1.00503,12.363
"Jan 9, 12:00 pm",1123.25,8.482,11,1.00414,13.463
"Jan 9, 01:00 pm",2286.52,11.023,19,1.00374,14.363
"Jan 9, 02:00 pm",2279.84,11.013,29,1.00275,14.763
"Jan 9, 03:00 pm",1616.58,9.59,27,1.00196,15.063
"Jan 9, 04:00 pm",1673.5,9.708,22,1.00038,15.163
"Jan 9, 05:00 pm",1135.89,8.542,13,1.00108,15.163
"Jan 9, 06:00 pm",1128.15,8.522,12,1.00068,15.313
"Jan 9, 07:00 pm",1123.13,8.512,3,1.00038,15.463
"Jan 9, 08:00 pm",1270.59,8.868,5,1.00503,14.363
"Jan 9, 09:00 pm",1456.34,9.253,6,1.00295,13.263
"Jan 9, 10:00 pm",1603.41,9.52,12,1.0068,12.463
"Jan 9, 11:00 pm",1930.5,10.173,16,1.00878,11.763
"Jan 10, 12:00 am",2055.46,10.45,25,1.0069,11.163
"Jan 10, 01:00 am",2002.03,10.321,25,1.00868,10.863
"Jan 10, 02:00 am",1653.71,9.599,27,1.00651,10.663
"Jan 10, 03:00 am",1136.65,8.482,20,1.00533,10.363
"Jan 10, 04:00 am",926.523,7.939,19,1.00562,9.963
"Jan 10, 05:00 am",570.258,6.772,9,1.00454,9.363
"Jan 10, 06:00 am",719.702,7.286,4,1.00513,9.463
"Jan 10, 07:00 am",879.966,7.79,9,1.00572,9.563
"Jan 10, 08:00 am",960.808,8.018,14,1.00789,9.663
"Jan 10, 09:00 am",467.165,6.337,9,1.0072,10.263
"Jan 10, 10:00 am",599.984,6.901,14,1.00809,10.763
"Jan 10, 11:00 am",636.928,7.029,28,1.01065,11.563
"Jan 10, 12:00 pm",499.541,6.485,37,1.00809,11.963
"Jan 10, 01:00 pm",555.695,6.723,41,1.00888,12.063
"Jan 10, 02:00 pm",737.257,7.355,42,1.0072,11.863
"Jan 10, 03:00 pm",683.936,7.187,48,1.00661,11.663
"Jan 10, 04:00 pm",474.059,6.377,47,1.00602,11.463
"Jan 10, 05:00 pm",218.029,5.052,43,1.00552,11.463
"Jan 10, 06:00 pm",156.597,4.587,37,1.00572,11.563
"Jan 10, 07:00 pm",98.508,4.113,35,1.00602,11.663
"Jan 10, 08:00 pm",297.617,5.507,39,1.00898,11.763
"Jan 10, 09:00 pm",379.566,5.981,45,1.00582,11.963
"Jan 10, 10:00 pm",270.827,5.358,47,1.00789,12.263
"Jan 10, 11:00 pm",207.414,4.993,59,1.00858,12.463
"Jan 11, 12:00 am",193.849,4.894,68,1.00809,12.763
"Jan 11, 01:00 am",115.987,4.261,62,1.0072,13.063
"Jan 11, 02:00 am",283.191,5.437,60,1.0067,13.163
"Jan 11, 03:00 am",235.309,5.161,69,1.0072,13.263
"Jan 11, 04:00 am",196.496,4.923,75,1.00601,13.463
"Jan 11, 05:00 am",224.389,5.101,78,1.00572,13.463
"Jan 11, 06:00 am",79.4044,3.954,92,1.00562,12.913
"Jan 11, 07:00 am",0,2.808,95,1.00542,12.363
"Jan 11, 08:00 am",0,2.056,73,1.00749,12.963
"Jan 11, 09:00 am",0,1.73,48,1.00631,13.163
"Jan 11, 10:00 am",0,2.926,105,1.00769,14.063
"Jan 11, 11:00 am",161.139,4.637,110,1.00818,14.663
"Jan 11, 12:00 pm",370.376,5.951,107,1.0072,14.963
"Jan 11, 01:00 pm",474.554,6.406,106,1.00591,14.963
"Jan 11, 02:00 pm",544.334,6.703,101,1.00542,14.963
"Jan 11, 03:00 pm",730.613,7.365,103,1.00631,14.863
"Jan 11, 04:00 pm",697.745,7.266,104,1.00384,14.963
"Jan 11, 05:00 pm",565.787,6.802,109,1.00285,15.063
"Jan 11, 06:00 pm",493.046,6.495,108,1.00305,15.513
"Jan 11, 07:00 pm",420.559,6.189,109,1.00315,15.963
"Jan 11, 08:00 pm",325.773,5.704,108,1.00542,16.063
"Jan 11, 09:00 pm",404.167,6.12,110,1.00374,16.263
"Jan 11, 10:00 pm",566.392,6.812,109,1.00335,16.363
"Jan 11, 11:00 pm",501.455,6.535,108,1.00522,16.463
"Jan 12, 12:00 am",587.256,6.901,109,1.00591,16.663
"Jan 12, 01:00 am",333.632,5.754,108,1.00581,16.963
"Jan 12, 02:00 am",262.865,5.348,108,1.00473,17.163
"Jan 12, 03:00 am",369.212,5.971,120,1.00236,17.463
"Jan 12, 04:00 am",571.926,6.851,122,1.00147,17.563
"Jan 12, 05:00 am",479.535,6.456,119,1.00167,17.463
"Jan 12, 06:00 am",423.466,6.209,131,1.00206,16.713
"Jan 12, 07:00 am",371.023,5.971,136,1.00246,15.963
"Jan 12, 08:00 am",217.338,5.081,140,1.00285,16.163
"Jan 12, 09:00 am",88.0876,4.053,133,1.00423,16.363
"Jan 12, 10:00 am",240.717,5.22,127,1.00453,17.163
"Jan 12, 11:00 am",491.672,6.505,134,1.00453,18.063
"Jan 12, 12:00 pm",320.807,5.694,121,1.00413,18.563
"Jan 12, 01:00 pm",617.082,7.039,105,1.00334,18.463
"Jan 12, 02:00 pm",846.337,7.771,105,1.00186,18.263
"Jan 12, 03:00 pm",1118.02,8.522,104,1.00176,18.063
"Jan 12, 04:00 pm",1064.37,8.383,107,1.00048,18.063
"Jan 12, 05:00 pm",689.486,7.276,114,0.999593,18.063
"Jan 12, 06:00 pm",818.923,7.691,118,1.00009,18.563
"Jan 12, 07:00 pm",957.506,8.117,122,1.00058,19.063
"Jan 12, 08:00 pm",460.355,6.377,132,1.00453,18.863
"Jan 12, 09:00 pm",287.819,5.507,133,1.00305,18.963
"Jan 12, 10:00 pm",86.4884,4.053,132,1.00285,19.063
"Jan 12, 11:00 pm",23.1212,3.292,127,1.00591,19.163
"Jan 13, 12:00 am",179.168,4.815,124,1.00463,19.163
"Jan 13, 01:00 am",434.418,6.268,114,1.00423,19.063
"Jan 13, 02:00 am",536.086,6.703,118,1.00275,18.663
"Jan 13, 03:00 am",584.466,6.91,121,1.00147,18.263
"Jan 13, 04:00 am",556.887,6.792,123,1.00068,17.963
"Jan 13, 05:00 am",425.069,6.228,126,1.00098,17.863
"Jan 13, 06:00 am",259.175,5.339,116,1.00117,18.163
"Jan 13, 07:00 am",133.355,4.439,133,1.00137,18.463
"Jan 13, 08:00 am",46.5383,3.579,116,1.00364,18.463
"Jan 13, 09:00 am",9.95954,3.134,124,1.00058,18.563
"Jan 13, 10:00 am",0,1.957,95,1.00473,18.863
"Jan 13, 11:00 am",0,1.849,169,1.0065,19.463
"Jan 13, 12:00 pm",0,1.671,138,1.00443,19.763
"Jan 13, 01:00 pm",0,1.77,104,1.00393,20.263
"Jan 13, 02:00 pm",15.2074,3.203,88,1.00176,20.163
"Jan 13, 03:00 pm",100.027,4.172,87,1.00137,19.963
"Jan 13, 04:00 pm",309.83,5.645,93,0.999493,19.663
"Jan 13, 05:00 pm",379.114,6.04,107,0.999987,19.063
"Jan 13, 06:00 pm",458.51,6.377,112,1.00097,18.913
"Jan 13, 07:00 pm",540.087,6.723,130,1.00196,18.763
"Jan 13, 08:00 pm",340.355,5.813,140,1.00236,18.963
"Jan 13, 09:00 pm",137.691,4.478,131,1.00157,19.163
"Jan 13, 10:00 pm",174.649,4.785,128,1.00078,19.363
"Jan 13, 11:00 pm",74.2789,3.925,138,1.00226,19.363
"Jan 14, 12:00 am",140.316,4.498,152,1.00334,19.363
"Jan 14, 01:00 am",54.1464,3.678,153,1.00206,19.363
"Jan 14, 02:00 am",78.9233,3.984,154,1.00078,19.363
"Jan 14, 03:00 am",216.875,5.101,156,1.00068,19.363
"Jan 14, 04:00 am",242.49,5.25,148,0.999888,19.263
"Jan 14, 05:00 am",208.451,5.052,142,0.999494,19.063
"Jan 14, 06:00 am",315.552,5.675,134,0.999296,18.863
"Jan 14, 07:00 am",438.978,6.297,146,0.999198,18.663
"Jan 14, 08:00 am",384.795,6.06,163,0.999395,18.263
"Jan 14, 09:00 am",227.342,5.161,171,0.998211,18.463
"Jan 14, 10:00 am",257.947,5.339,161,0.999888,19.163
"Jan 14, 11:00 am",248.842,5.289,151,1.00166,19.963
"Jan 14, 12:00 pm",405.792,6.169,139,0.997617,20.463
"Jan 14, 01:00 pm",523.139,6.673,123,0.996531,20.363
"Jan 14, 02:00 pm",977.204,8.186,117,0.995052,19.363
"Jan 14, 03:00 pm",1361.68,9.145,122,0.995446,18.463
"Jan 14, 04:00 pm",1305.84,9.026,126,0.995743,18.163
"Jan 14, 05:00 pm",1324.1,9.075,133,0.993374,18.263
"Jan 14, 06:00 pm",1170.73,8.68,120,0.994459,18.263
"Jan 14, 07:00 pm",1015.86,8.275,128,0.995446,18.263
"Jan 14, 08:00 pm",906.313,7.968,135,1.00088,18.663
"Jan 14, 09:00 pm",332.205,5.774,133,0.997619,18.763
"Jan 14, 10:00 pm",556.243,6.802,131,0.997321,18.763
"Jan 14, 11:00 pm",670.775,7.227,129,0.996928,18.563
"Jan 15, 12:00 am",560.676,6.821,123,0.996533,18.363
"Jan 15, 01:00 am",575.301,6.881,126,0.997421,18.363
"Jan 15, 02:00 am",545.89,6.762,127,0.994657,18.463
"Jan 15, 03:00 am",712.583,7.365,129,0.995545,18.663
"Jan 15, 04:00 am",687.808,7.286,128,0.995052,18.763
"Jan 15, 05:00 am",925.56,8.047,121,0.994953,18.863
"Jan 15, 06:00 am",823.361,7.721,121,0.99367,18.463
"Jan 15, 07:00 am",724.297,7.405,124,0.992387,18.063
"Jan 15, 08:00 am",605.842,7.009,121,0.997619,18.063
"Jan 15, 09:00 am",370.798,6.001,116,0.994361,18.163
"Jan 15, 10:00 am",274.943,5.447,120,0.993867,18.663
"Jan 15, 11:00 am",496.878,6.555,114,0.994657,18.963
"Jan 15, 12:00 pm",743.524,7.464,106,0.995545,18.763
"Jan 15, 01:00 pm",1295.53,9.006,95,0.993473,17.963
"Jan 15, 02:00 pm",1913.18,10.262,95,0.992683,17.763
"Jan 15, 03:00 pm",2156.91,10.815,100,0.990512,17.763
"Jan 15, 04:00 pm",2293.99,11.132,105,0.991696,17.763
"Jan 15, 05:00 pm",2198.1,10.914,114,0.989425,17.963
"Jan 15, 06:00 pm",2433.38,11.537,126,0.990609,18.263
"Jan 15, 07:00 pm",2641.61,12.15,131,0.991892,18.563
"Jan 15, 08:00 pm",2388.55,11.399,133,0.994756,18.663
"Jan 15, 09:00 pm",2105.66,10.707,134,0.991596,18.663
"Jan 15, 10:00 pm",2021.72,10.529,139,0.988932,18.763
"Jan 15, 11:00 pm",2192.54,10.895,145,0.994262,18.863
"Jan 16, 12:00 am",2123.59,10.746,148,0.992978,18.963
"Jan 16, 01:00 am",1857.39,10.153,151,0.991794,19.063
"Jan 16, 02:00 am",2185.17,10.895,150,0.990412,19.063
"Jan 16, 03:00 am",2272.29,11.092,157,0.990708,19.163
"Jan 16, 04:00 am",2277.95,11.112,164,0.990016,19.263
"Jan 16, 05:00 am",2427.54,11.547,159,0.987352,19.363
"Jan 16, 06:00 am",2572.48,11.952,146,0.987549,19.013
"Jan 16, 07:00 am",2686.44,12.368,148,0.987746,18.663
"Jan 16, 08:00 am",2785.28,12.812,148,0.988832,18.863
"Jan 16, 09:00 am",2410.8,11.498,157,0.988437,19.563
"Jan 16, 10:00 am",2255.45,11.072,146,0.988042,19.863
"Jan 16, 11:00 am",2889.88,13.435,144,0.989227,19.563
"Jan 16, 12:00 pm",2914.22,13.653,150,0.98666,19.863
"Jan 16, 01:00 pm",2017.71,10.549,155,0.986166,20.363
"Jan 16, 02:00 pm",1396.69,9.263,149,0.984489,19.663
"Jan 16, 03:00 pm",1384.52,9.234,150,0.984686,19.463
"Jan 16, 04:00 pm",1678.24,9.817,160,0.984686,19.663
"Jan 16, 05:00 pm",971.501,8.206,170,0.983107,19.563
"Jan 16, 06:00 pm",353.71,5.922,202,0.984588,18.313
"Jan 16, 07:00 pm",50.0916,3.638,178,0.986168,17.063
"Jan 16, 08:00 pm",387.448,6.09,156,0.984688,16.563
"Jan 16, 09:00 pm",288.504,5.526,218,0.987058,16.663
"Jan 16, 10:00 pm",98.0636,4.162,181,0.98607,16.863
"Jan 16, 11:00 pm",224.464,5.151,165,0.989525,17.063
"Jan 17, 12:00 am",1044.25,8.364,150,0.986267,17.163
"Jan 17, 01:00 am",980.818,8.206,158,0.983405,17.063
"Jan 17, 02:00 am",529.964,6.703,169,0.985083,16.863
"Jan 17, 03:00 am",266.32,5.398,188,0.987058,16.863
"Jan 17, 04:00 am",282.949,5.497,199,0.986267,16.963
"Jan 17, 05:00 am",551.136,6.792,206,0.985675,16.863
"Jan 17, 06:00 am",482.819,6.505,225,0.984392,17.263
"Jan 17, 07:00 am",417.081,6.228,206,0.983108,17.663
"Jan 17, 08:00 am",1029.92,8.334,222,0.985379,17.663
"Jan 17, 09:00 am",1079.27,8.482,253,0.983304,19.063
"Jan 17, 10:00 am",1702.87,9.866,266,0.986561,19.963
"Jan 17, 11:00 am",1508.05,9.491,280,0.983698,20.263
"Jan 17, 12:00 pm",1173.64,8.739,281,0.984882,20.563
"Jan 17, 01:00 pm",1210.38,8.838,279,0.985376,21.063
"Jan 17, 02:00 pm",937.715,8.136,285,0.98419,21.863
"Jan 17, 03:00 pm",651.789,7.227,288,0.98577,22.663
"Jan 17, 04:00 pm",536.822,6.782,285,0.984584,23.163
"Jan 17, 05:00 pm",354.787,5.961,288,0.984091,23.263
"Jan 17, 06:00 pm",274.09,5.487,305,0.98567,23.663
"Jan 17, 07:00 pm",196.283,5.012,297,0.987249,24.063
"Jan 17, 08:00 pm",304.882,5.665,305,0.987742,23.663
"Jan 17, 09:00 pm",1616.37,9.708,340,0.988534,21.863
"Jan 17, 10:00 pm",1375.55,9.204,334,0.989622,19.763
"Jan 17, 11:00 pm",1146.58,8.64,327,0.990016,19.263
"Jan 18, 12:00 am",1009.07,8.275,331,0.990116,18.563
"Jan 18, 01:00 am",1028.78,8.314,323,0.991104,17.563
